epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,498.285,1.15179,1.29787,1.1771,0.75103,0.60196,0.68831,0.44634,1.1686,1.06312,1.15211,0.00333089,0.00333089,0.00333089
2,991.131,1.24214,1.14449,1.23254,0.72015,0.54417,0.63158,0.39156,1.30243,1.15343,1.26616,0.00644431,0.00644431,0.00644431
3,1484.34,1.35618,1.24466,1.31431,0.69024,0.51254,0.59392,0.35539,1.39443,1.26807,1.35407,0.00933772,0.00933772,0.00933772
4,1976.44,1.36473,1.24624,1.32844,0.74381,0.57016,0.66227,0.41533,1.27322,1.07844,1.25685,0.00901,0.00901,0.00901
5,2469.75,1.30607,1.1646,1.29276,0.749,0.5947,0.68501,0.44275,1.20473,1.00936,1.21522,0.00868,0.00868,0.00868
6,2962.45,1.27128,1.11986,1.27132,0.76415,0.61596,0.70604,0.46407,1.16539,0.94342,1.186,0.00835,0.00835,0.00835
7,3454.13,1.24519,1.08606,1.25397,0.77438,0.61941,0.71513,0.4766,1.12887,0.91634,1.16507,0.00802,0.00802,0.00802
8,3946.4,1.22979,1.06384,1.2444,0.77951,0.6315,0.72634,0.48701,1.10713,0.88304,1.14843,0.00769,0.00769,0.00769
9,4437.97,1.21588,1.04741,1.23504,0.79588,0.63168,0.73313,0.49524,1.09754,0.86598,1.14072,0.00736,0.00736,0.00736
10,4926.58,1.20373,1.03003,1.22729,0.79469,0.63686,0.73957,0.50202,1.08447,0.84824,1.13169,0.00703,0.00703,0.00703
11,5420.81,1.19468,1.01769,1.22265,0.79771,0.64513,0.74396,0.50532,1.07845,0.83839,1.12846,0.0067,0.0067,0.0067
12,5911.35,1.18529,1.00658,1.2144,0.80397,0.64402,0.74643,0.50819,1.07368,0.83257,1.12511,0.00637,0.00637,0.00637
13,6409.54,1.17398,0.99329,1.20875,0.79764,0.64837,0.74858,0.50978,1.07066,0.82838,1.1233,0.00604,0.00604,0.00604
14,6900.55,1.16787,0.98428,1.2036,0.80311,0.64719,0.75081,0.51159,1.06828,0.82456,1.12203,0.00571,0.00571,0.00571
15,7390.7,1.15736,0.97299,1.19743,0.80277,0.64915,0.75187,0.5127,1.06454,0.82071,1.11981,0.00538,0.00538,0.00538
16,7881.8,1.15284,0.96704,1.19485,0.80018,0.64995,0.75239,0.51437,1.06148,0.817,1.11762,0.00505,0.00505,0.00505
17,8372.69,1.14457,0.95591,1.1878,0.80409,0.6475,0.75317,0.51613,1.0579,0.81395,1.11478,0.00472,0.00472,0.00472
18,8864.17,1.14063,0.94861,1.18681,0.80622,0.64765,0.75428,0.51755,1.05564,0.81071,1.11339,0.00439,0.00439,0.00439
19,9348.42,1.13145,0.93979,1.1822,0.81278,0.64577,0.75567,0.51877,1.05338,0.80755,1.11149,0.00406,0.00406,0.00406
20,9832.28,1.12308,0.9302,1.17621,0.80568,0.65186,0.75654,0.52049,1.05086,0.80409,1.10969,0.00373,0.00373,0.00373
21,10359.7,1.1119,0.88574,1.15828,0.81026,0.65176,0.75857,0.52177,1.04804,0.80087,1.10809,0.0034,0.0034,0.0034
22,10836,1.09998,0.87,1.152,0.81068,0.65373,0.75948,0.52301,1.04563,0.79808,1.10672,0.00307,0.00307,0.00307
23,11313.5,1.08815,0.85648,1.14666,0.81146,0.65277,0.75983,0.5242,1.04325,0.79475,1.10523,0.00274,0.00274,0.00274
24,11790.2,1.0804,0.84291,1.13848,0.80984,0.6554,0.76094,0.52553,1.04096,0.79166,1.10359,0.00241,0.00241,0.00241
25,12266.9,1.06947,0.83056,1.13248,0.81696,0.65258,0.76153,0.52697,1.03843,0.78892,1.10202,0.00208,0.00208,0.00208
26,12743.7,1.06017,0.8179,1.12698,0.81512,0.65594,0.76272,0.52833,1.03629,0.78643,1.10065,0.00175,0.00175,0.00175
27,13220.9,1.04931,0.80908,1.11981,0.81233,0.65885,0.7637,0.52976,1.0341,0.78442,1.09858,0.00142,0.00142,0.00142
28,13697.2,1.03961,0.79391,1.11239,0.81366,0.65831,0.76453,0.53098,1.03226,0.78264,1.09694,0.00109,0.00109,0.00109
29,14173.1,1.02841,0.78052,1.10824,0.81339,0.65894,0.76504,0.53167,1.03015,0.7806,1.0951,0.00076,0.00076,0.00076
30,14649.2,1.0189,0.76792,1.10163,0.81431,0.66121,0.76627,0.53271,1.02848,0.77835,1.09352,0.00043,0.00043,0.00043
